age,gender,education,experience_years,hired
34,male,bachelor,5,1
28,female,master,3,0
45,male,phd,12,1
32,female,bachelor,4,0
29,male,bachelor,2,1
41,female,master,8,1
38,male,phd,10,1
25,female,bachelor,1,0
33,male,master,6,1
30,female,phd,5,1
27,male,bachelor,2,1
36,female,master,7,0
42,male,bachelor,9,1
31,female,bachelor,3,0
48,male,phd,15,1
26,female,master,2,0
35,male,master,7,1
29,female,bachelor,2,0
44,male,phd,11,1
33,female,master,6,1
28,male,bachelor,3,1
37,female,bachelor,5,0
40,male,master,9,1
27,female,phd,1,0
52,male,phd,18,1
30,female,bachelor,3,0
39,male,master,8,1
25,female,master,1,0
46,male,phd,13,1
34,female,bachelor,5,1
